gene,f_score,p_value
ENSG00000198873.12,463.0730366731723,7.150122351228818e-72
ENSG00000116016.14,460.103160601839,1.5112624672695446e-71
ENSG00000134256.12,454.0200788004647,7.052709592336332e-71
ENSG00000182575.8,453.91168482173265,7.249655223580146e-71
ENSG00000225938.1,453.6047468431592,7.837830145441332e-71
ENSG00000179776.19,453.60302379944966,7.841263744113071e-71
ENSG00000198844.12,452.1807394677828,1.1259528909270056e-70
ENSG00000227051.7,452.11270105586533,1.145626978719552e-70
ENSG00000154783.12,451.7441322748467,1.2583621124230441e-70
ENSG00000128268.12,450.38656707465685,1.7786452424018978e-70
ENSG00000213853.10,448.45509874146353,2.9126619230102575e-70
ENSG00000131477.11,447.8167249844337,3.429145019345343e-70
ENSG00000102760.13,446.99758931743753,4.2289183644794487e-70
ENSG00000172159.16,445.35261171600894,6.446283510617923e-70
ENSG00000134201.12,443.8309031788577,9.527206705197052e-70
ENSG00000094963.14,440.1917162810363,2.431409917044881e-69
ENSG00000171115.4,438.7260171168406,3.5497635967755884e-69
ENSG00000133121.21,435.7015363082292,7.765419936629852e-69
ENSG00000183019.7,435.080312555014,9.122943748155184e-69
ENSG00000135063.19,432.98944475524775,1.5703305365322506e-68
ENSG00000112214.10,431.4234245422406,2.360498124612183e-68
ENSG00000095370.20,430.90970026960844,2.6986042172741417e-68
ENSG00000261143.1,428.81528129032756,4.661226414344781e-68
ENSG00000130052.13,427.1999629794269,7.111247433975331e-68
ENSG00000105974.13,426.68399236194637,8.139782409874786e-68
ENSG00000141338.14,425.73684749826486,1.043263244797682e-67
ENSG00000133800.9,424.7112231937644,1.365322685468529e-67
ENSG00000158246.8,421.4483323828251,3.2199662229066844e-67
ENSG00000114854.8,420.5677204079074,4.061170463674296e-67
ENSG00000149557.14,419.769562972287,5.013023822849367e-67
ENSG00000137441.8,418.76267927319043,6.540050579779408e-67
ENSG00000171132.14,416.98788830974235,1.0458194695417183e-66
ENSG00000117245.13,416.40528283164207,1.2203153452826135e-66
ENSG00000092295.12,414.58439458590124,1.9779261627037485e-66
ENSG00000136114.17,414.3606930860559,2.0989738752074974e-66
ENSG00000120279.6,414.2775855704795,2.1458163863960303e-66
ENSG00000165197.5,414.1390680294038,2.2262351156145426e-66
ENSG00000235385.2,414.1381903024023,2.2267542284719994e-66
ENSG00000142748.13,412.17140729245114,3.7568206212953316e-66
ENSG00000129596.5,411.10368869387906,4.992840106964123e-66
ENSG00000122679.8,410.2533703480094,6.263704815678739e-66
ENSG00000189129.14,409.75462597061136,7.155506253583805e-66
ENSG00000177098.9,408.0754028933608,1.1207819390514238e-65
ENSG00000064989.13,406.25807325929014,1.8232814579395042e-65
ENSG00000183010.17,406.14302164792804,1.8803887639922621e-65
ENSG00000137878.17,405.23409589330527,2.3995191561735994e-65
ENSG00000164035.10,403.175282350011,4.172118454345121e-65
ENSG00000114654.7,401.9663398174935,5.776813541221828e-65
ENSG00000283199.3,400.9270872054264,7.64434914664661e-65
ENSG00000166265.13,399.0018251658007,1.2855649682216816e-64
ENSG00000135218.19,398.51383242467483,1.4668831689182867e-64
ENSG00000266524.3,397.3116683260384,2.0309336640677335e-64
ENSG00000092421.17,397.22356565083555,2.0799789442417352e-64
ENSG00000171056.8,395.49490042589724,3.323615416645314e-64
ENSG00000254810.1,389.659755844243,1.6283436668746517e-63
ENSG00000168497.5,389.2987574091125,1.797203564989212e-63
ENSG00000131097.7,389.23816047369417,1.8272249789226637e-63
ENSG00000171819.5,384.27949638871183,7.116764512225953e-63
ENSG00000189292.16,382.9464818978745,1.0270968139200608e-62
ENSG00000157554.19,379.7559477939718,2.4773274740294423e-62
ENSG00000069702.11,378.54456486453824,3.463715454135261e-62
ENSG00000241644.2,375.5341713976617,7.9832344917027e-62
ENSG00000111052.7,375.1166840075858,8.965467568576063e-62
ENSG00000171243.8,372.8568785526772,1.6818466837374338e-61
ENSG00000105538.10,371.94195364854056,2.1707629339179063e-61
ENSG00000162520.15,369.6371629351536,4.133656546044138e-61
ENSG00000120645.12,366.4586441750653,1.0077926941431015e-60
ENSG00000137834.15,364.9348457630526,1.5468406849237623e-60
ENSG00000169418.10,364.0936321476184,1.9602659350639958e-60
ENSG00000236304.1,362.12374008058634,3.416783681965083e-60
ENSG00000213203.3,361.90932711120684,3.630085595475515e-60
ENSG00000043591.6,361.5722563065253,3.992776541763357e-60
ENSG00000112137.18,360.42371672741496,5.524926679554775e-60
ENSG00000127329.16,357.6904645813564,1.1989183385136993e-59
ENSG00000152580.8,357.09030485668313,1.421737615065225e-59
ENSG00000143167.12,356.611133985958,1.6291619619330433e-59
ENSG00000280339.1,356.38682506927,1.7364527137292257e-59
ENSG00000114812.13,355.3424327382571,2.3373804957726333e-59
ENSG00000162687.19,354.7690201719088,2.7520869807812445e-59
ENSG00000197245.6,354.7362131615286,2.777934370838434e-59
ENSG00000173114.13,352.54264253803615,5.194506391428621e-59
ENSG00000206384.10,351.21930127533676,7.583751518104395e-59
ENSG00000091106.19,351.07517014083146,7.9031321912003955e-59
ENSG00000224397.7,350.3015317807875,9.8631343141749e-59
ENSG00000138821.13,350.1049404413811,1.0434681243950103e-58
ENSG00000131355.15,348.5502094881172,1.6299043989061395e-58
ENSG00000173269.14,344.7980809803753,4.7987074504520005e-58
ENSG00000145147.20,344.195428094524,5.7101898531683436e-58
ENSG00000250899.3,343.9937833522515,6.0524872975765066e-58
ENSG00000156218.13,343.77002568926133,6.456501780734445e-58
ENSG00000059573.9,339.23359742834964,2.402358712775242e-57
ENSG00000256948.1,339.1360060513996,2.471436382773805e-57
ENSG00000213144.2,338.78879366680627,2.7337825828979086e-57
ENSG00000165495.16,337.24709210309965,4.280951500907447e-57
ENSG00000112902.12,336.68204849379254,5.046860009053432e-57
ENSG00000011201.12,334.5475821755301,9.408052766135345e-57
ENSG00000129048.7,333.6725454574889,1.215048565637157e-56
ENSG00000188536.13,333.17363607817066,1.4060134522637171e-56
ENSG00000161835.11,332.90742651722525,1.5199619153001914e-56
ENSG00000176435.7,331.7906687979089,2.1082876320515815e-56
ENSG00000233038.6,330.23102408739277,3.3320806499691646e-56
ENSG00000121691.7,329.6558820864998,3.945658635874645e-56
ENSG00000159708.18,329.2241550695737,4.479761355850914e-56
ENSG00000288543.1,328.6723192407644,5.269544398654732e-56
ENSG00000171049.9,327.3450185557461,7.790916848408745e-56
ENSG00000164530.15,327.1706993699641,8.201858676437914e-56
ENSG00000155011.9,326.70428313813943,9.41167426239824e-56
ENSG00000167261.14,326.5319755884547,9.902637987253103e-56
ENSG00000114113.6,325.7076666850958,1.2631832770545966e-55
ENSG00000111961.18,325.60355402316566,1.3026460300242192e-55
